metric_month,product_outcome,no_customers
2015-02-01,Upgrade,1
2015-03-01,Upgrade,1
2015-04-01,Downgrade,1
2015-04-01,Upgrade,4
2015-05-01,Downgrade,4
2015-05-01,Upgrade,2
2015-06-01,Downgrade,9
2015-06-01,Upgrade,2
2015-07-01,Downgrade,4
2015-07-01,Upgrade,2
2015-08-01,Downgrade,3
2015-08-01,Upgrade,5
2015-09-01,Downgrade,5
2015-09-01,Upgrade,8
2015-10-01,Downgrade,7
2015-10-01,Upgrade,9
2015-11-01,Downgrade,9
2015-11-01,Upgrade,9
2015-12-01,Downgrade,13
2015-12-01,Upgrade,11
2016-01-01,Downgrade,11
2016-01-01,Upgrade,13
2016-02-01,Downgrade,14
2016-02-01,Upgrade,14
2016-03-01,Downgrade,14
2016-03-01,Upgrade,21
2016-04-01,Downgrade,28
2016-04-01,Upgrade,22
2016-05-01,Downgrade,25
2016-05-01,Upgrade,22
2016-06-01,Downgrade,26
2016-06-01,Upgrade,19
2016-07-01,Downgrade,27
2016-07-01,Upgrade,24
2016-08-01,Downgrade,37
2016-08-01,Upgrade,28
2016-09-01,Downgrade,29
2016-09-01,Upgrade,39
2016-10-01,Downgrade,34
2016-10-01,Upgrade,51
2016-11-01,Downgrade,33
2016-11-01,Upgrade,73
2016-12-01,Downgrade,36
2016-12-01,Upgrade,76
2017-01-01,Downgrade,21
2017-01-01,Upgrade,75
2017-02-01,Downgrade,44
2017-02-01,Upgrade,49
2017-03-01,Downgrade,55
2017-03-01,Upgrade,63
2017-04-01,Downgrade,48
2017-04-01,Upgrade,45
2017-05-01,Downgrade,56
2017-05-01,Upgrade,56
2017-06-01,Downgrade,55
2017-06-01,Upgrade,74
2017-07-01,Downgrade,60
2017-07-01,Upgrade,66
2017-08-01,Downgrade,56
2017-08-01,Upgrade,60
2017-09-01,Downgrade,61
2017-09-01,Upgrade,77
2017-10-01,Downgrade,60
2017-10-01,Upgrade,49
2017-11-01,Downgrade,31
2017-11-01,Upgrade,46
